uuid,status,human_answer,human_difficulty,score,user_id
05ba7cae-3682-44dd-9018-f1bff6001ef3,commented,"[""A""]",hard,0,226
1266c807-3d95-477e-9a2b-73c8bd812f69,commented,"[""B""]",easy,1,168
b2a413da-edc9-4484-b675-9033244dc35c,commented,"[""F""]",easy,1,255
fef104af-358a-45ad-94d4-1cb85a2cdcff,commented,"[""F""]",medium,0,245
ef451d42-8e4f-4ddf-bc55-d1a26690b76f,commented,"[""O""]",medium,0,262
cde4b445-eef4-4150-90b1-d878c004d822,commented,"[""P""]",hard,0,201
72933c79-dddb-4483-9d32-39503bff0ff1,commented,"[""F""]",medium,0,294
7e72890a-387d-41a2-9121-ea827f0bc4d2,answered,"[""F""]",,0,150
c7fb48a2-f588-4bcd-9e09-ffcd22933d29,commented,"[""A""]",easy,1,274
9b8ddb55-81c4-4cac-87d0-20baf43ef692,commented,"[""B""]",easy,1,158
9b8ddb55-81c4-4cac-87d0-20baf43ef692,commented,"[""B""]",easy,1,146
1266c807-3d95-477e-9a2b-73c8bd812f69,commented,"[""D""]",medium,0,300
ef451d42-8e4f-4ddf-bc55-d1a26690b76f,commented,"[""N""]",hard,0,272
